full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Lucy Graham,27,2021/2022,Midfielder,Everton Women,901,379,522,Scotland,16,9,7,0,0,0,0,0,0,0,0,3,0,3,15,7,8,2,0,0,0,0,0,0,0,0
Lucy Parker,24,2021/2022,Defender,West Ham United Women,836,472,364,England,14,7,7,0,0,0,0,0,0,0,0,4,2,2,11,7,4,1,0,0,0,0,0,0,0,0
Lucy Quinn,30,2021/2022,Forward,Birmingham City Women,1672,878,794,England,22,11,11,1,0,1,3,1,2,0,0,3,2,1,43,17,26,1,0,0,0,0,0,0,0,0
Lucy Staniforth,31,2021/2022,Midfielder,Manchester United Women,570,302,268,England,12,6,6,2,2,0,0,0,0,0,0,6,3,3,8,6,2,2,0,0,0,0,0,0,0,0
Lucy Whipp,27,2021/2022,Forward,Birmingham City Women,528,159,369,England,11,4,7,0,0,0,0,0,0,0,0,0,0,0,13,4,9,0,0,0,0,0,0,0,0,0
Lydia Williams,35,2021/2022,Goalkeeper,Arsenal Women,180,180,0,Australia,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackenzie Arnold,29,2021/2022,Goalkeeper,West Ham United Women,1620,900,720,Australia,18,10,8,0,0,0,0,0,0,0,0,3,2,1,27,13,14,0,0,0,0,67,19.74,0.21,0.79,94
Maéva Jocelyne Clémaron,30,2021/2022,Midfielder,Tottenham Hotspur Women,1742,813,929,France,21,10,11,0,0,0,0,0,0,0,0,8,5,3,16,3,13,7,0,0,0,0,0,0,0,0
Magdalena Ericsson,30,2021/2022,Defender,Chelsea Women,1254,613,641,Sweden,16,7,9,1,0,1,0,0,0,0,0,9,4,5,9,4,5,1,0,0,0,0,0,0,0,0
Maisie Symonds,20,2021/2022,Midfielder,Brighton & Hove Albion Women,358,268,90,England,16,10,6,1,1,0,2,2,0,0,0,5,3,2,7,6,1,2,0,0,0,0,0,0,0,0
Mana Iwabuchi,30,2021/2022,Forward,Arsenal Women,488,308,180,Japan,11,6,5,1,0,1,1,1,0,0,0,7,4,3,5,3,2,1,0,0,0,0,0,0,0,0
Manuela Zinsberger,27,2021/2022,Goalkeeper,Arsenal Women,1800,810,990,Austria,20,9,11,0,0,0,0,0,0,0,0,13,5,8,10,6,4,0,0,0,0,41,8.67,0.17,0.83,51
Maren Mjelde,33,2021/2022,Defender,Chelsea Women,52,12,40,Norway,4,1,3,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Maria Thorisdottir,30,2021/2022,Defender,Manchester United Women,1639,844,795,Norway,20,11,9,1,0,1,0,0,0,0,0,9,7,2,19,10,9,1,0,0,0,0,0,0,0,0
María Victoria Losada Gómez,32,2021/2022,Midfielder,Manchester City Women,590,252,338,Spain,12,5,7,3,0,3,1,0,1,0,0,6,2,4,5,2,3,0,0,0,0,0,0,0,0,0
Marie Hourihan,36,2021/2022,Goalkeeper,Birmingham City Women,630,270,360,Republic of Ireland,7,3,4,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,0,0,0,22,12.09,0.31,0.69,39
Marisa Ewers,34,2021/2022,Defender,Aston Villa Ladies,217,72,145,Germany,5,3,2,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0
Martha Harris,29,2021/2022,Defender,Manchester United Women,10,10,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Martha Thomas,27,2021/2022,Forward,Manchester United Women,900,401,499,USA,18,8,10,5,3,2,2,1,1,0,0,9,7,2,8,1,7,0,0,0,0,0,0,0,0,0
Mary Earps,30,2021/2022,Goalkeeper,Manchester United Women,1980,990,990,England,22,11,11,0,0,0,0,0,0,0,0,10,7,3,19,10,9,0,0,0,0,40,16.38,0.26,0.74,63
Mayumi Pacheco,25,2021/2022,Defender,Aston Villa Ladies,1980,990,990,England,22,11,11,0,0,0,0,0,0,0,0,5,1,4,37,16,21,3,0,0,0,0,0,0,0,0
Meaghan Sargeant,29,2021/2022,Defender,Aston Villa Ladies,818,345,473,England,12,6,6,0,0,0,0,0,0,0,0,2,0,2,22,8,14,0,0,0,0,0,0,0,0,0
Megan Connolly,26,2021/2022,Midfielder,Brighton & Hove Albion Women,1450,741,709,Republic of Ireland,20,10,10,0,0,0,2,1,1,0,0,6,3,3,31,15,16,1,0,0,0,0,0,0,0,0
Megan Finnigan,25,2021/2022,Midfielder,Everton Women,1103,525,578,England,16,7,9,1,1,0,0,0,0,0,0,4,0,4,30,17,13,1,0,0,0,0,0,0,0,0
Megan Walsh,28,2021/2022,Goalkeeper,Brighton & Hove Albion Women,1800,990,810,England,20,11,9,0,0,0,0,0,0,0,0,6,3,3,37,18,19,1,0,0,0,0,0,0,0,109
Melanie Leupolz,29,2021/2022,Midfielder,Chelsea Women,513,180,333,Germany,7,2,5,0,0,0,1,0,1,0,0,3,1,2,5,1,4,0,0,0,0,0,0,0,0,0
Millie Bright,30,2021/2022,Midfielder,Chelsea Women,1973,986,987,England,22,11,11,0,0,0,0,0,0,0,0,14,8,6,11,4,7,3,0,0,0,0,0,0,0,0
Millie Turner,27,2021/2022,Midfielder,Manchester United Women,260,155,105,England,4,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Molly Bartrip,27,2021/2022,Defender,Tottenham Hotspur Women,1980,990,990,England,22,11,11,0,0,0,1,1,0,0,0,8,5,3,19,5,14,2,0,0,0,0,0,0,0,0
Molly Pike,22,2021/2022,Midfielder,Leicester City WFC,1781,860,921,England,21,10,11,0,0,0,2,2,0,0,0,4,4,0,39,17,22,0,0,0,0,0,0,0,0,0
Natasha Dowie,35,2021/2022,Forward,Reading Women,1377,740,637,England,17,9,8,6,4,2,1,1,0,1,1,7,5,2,20,9,11,0,0,0,0,0,0,0,0,0
Natasha Harding,34,2021/2022,Midfielder,Reading Women,1823,933,890,Wales,22,11,11,0,0,0,0,0,0,0,0,7,5,2,36,15,21,3,0,0,0,0,0,0,0,0
Natasha Jane Flint,27,2021/2022,Forward,Leicester City WFC,1251,631,620,England,21,11,10,2,1,1,1,0,1,0,0,4,4,0,39,18,21,2,0,0,0,0,0,0,0,0
Nathalie Björn,26,2021/2022,Defender,Everton Women,1137,649,488,Sweden,16,9,7,1,0,1,0,0,0,0,0,1,0,1,25,15,10,1,0,0,0,0,0,0,0,0
Niamh Charles,24,2021/2022,Forward,Chelsea Women,1037,382,655,England,20,9,11,1,0,1,1,0,1,0,0,12,6,6,7,2,5,0,0,0,0,0,0,0,0,0
Niamh Murphy,20,2021/2022,Defender,Manchester United Women,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicoline Sørensen,26,2021/2022,Forward,Everton Women,96,16,80,Denmark,3,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
Nikita Parris,29,2021/2022,Forward,Arsenal Women,599,341,258,England,18,8,10,1,1,0,3,2,1,1,0,14,6,8,1,1,0,2,0,0,0,0,0,0,0,0
Noelle Maritz,27,2021/2022,Defender,Arsenal Women,1592,759,833,Switzerland,19,9,10,0,0,0,2,2,0,0,0,13,6,7,8,4,4,3,0,0,0,0,0,0,0,0
Olivia McLoughlin,18,2021/2022,Midfielder,Aston Villa Ladies,442,283,159,England,11,6,5,0,0,0,0,0,0,0,0,2,1,1,16,7,9,0,0,0,0,0,0,0,0,0
Ona Batlle Pascual,24,2021/2022,Defender,Manchester United Women,1871,881,990,Spain,21,10,11,1,1,0,3,2,1,0,0,9,6,3,19,10,9,2,0,0,0,0,0,0,0,0
Paige Bailey Gayle,21,2021/2022,Forward,Leicester City WFC,354,176,178,England,12,5,7,0,0,0,0,0,0,0,0,0,0,0,13,8,5,1,0,0,0,0,0,0,0,0
Pernille Mosegaard-Harder,30,2021/2022,Forward,Chelsea Women,1198,616,582,Denmark,16,8,8,6,1,5,3,2,1,1,0,8,5,3,9,4,5,1,0,0,1,0,0,0,0,0
Poppy Pattinson,23,2021/2022,Defender,Everton Women,746,414,332,England,17,9,8,0,0,0,0,0,0,0,0,3,0,3,19,11,8,0,0,0,0,0,0,0,0,0
Poppy Soper,21,2021/2022,Goalkeeper,Chelsea Women,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachel Corsie,34,2021/2022,Defender,Aston Villa Ladies,478,270,208,Scotland,6,3,3,0,0,0,1,0,1,0,0,2,1,1,8,2,6,1,0,0,0,0,0,0,0,0
Rachel Rowe,31,2021/2022,Midfielder,Reading Women,939,505,434,Wales,14,6,8,1,1,0,3,3,0,0,0,3,2,1,23,11,12,1,0,0,0,0,0,0,0,0
Rachel Williams,35,2021/2022,Forward,Tottenham Hotspur Women,1808,870,938,England,22,11,11,4,1,3,2,1,1,0,0,8,5,3,15,4,11,5,1,0,0,0,0,0,0,0
Rafaelle Leone Carvalho Souza,32,2021/2022,Defender,Arsenal Women,398,290,108,Brazil,6,4,2,1,1,0,0,0,0,0,0,2,1,1,4,3,1,0,0,0,0,0,0,0,0,0
Ramona Petzelberger,30,2021/2022,Midfielder,Aston Villa Ladies,1654,720,934,Germany,19,8,11,3,1,2,1,0,1,0,0,5,1,4,30,10,20,1,0,0,0,0,0,0,0,0
Rebecca Holloway,28,2021/2022,Defender,Birmingham City Women,1467,751,716,Northern Ireland,17,9,8,0,0,0,1,1,0,0,0,1,1,0,39,17,22,1,0,0,0,0,0,0,0,0
Rebecca Leigh Spencer,32,2021/2022,Goalkeeper,Tottenham Hotspur Women,990,540,450,England,11,6,5,0,0,0,0,0,0,0,0,5,3,2,6,2,4,0,0,0,0,16,4.56,0.19,0.81,24
Remi Allen,32,2021/2022,Midfielder,Aston Villa Ladies,1696,796,900,England,19,9,10,3,2,1,0,0,0,0,0,5,1,4,27,12,15,2,0,0,0,0,0,0,0,0
Ria Percival,33,2021/2022,Defender,Tottenham Hotspur Women,1513,810,703,New Zealand,17,9,8,2,1,1,2,2,0,0,0,7,4,3,11,3,8,3,0,0,0,0,0,0,0,0
Rikke Læntver Sevecke,27,2021/2022,Defender,Everton Women,841,381,460,Denmark,11,5,6,1,1,0,0,0,0,0,0,2,0,2,14,7,7,2,0,0,0,0,0,0,0,0
Rinsola Babajide,25,2021/2022,Forward,Brighton & Hove Albion Women,92,62,30,England,3,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Rosella Ayane,27,2021/2022,Forward,Tottenham Hotspur Women,749,304,445,England,17,8,9,1,1,0,0,0,0,1,0,4,3,1,11,2,9,3,0,0,0,0,0,0,0,0
Ruby Mace,20,2021/2022,Defender,Manchester City Women,259,41,218,England,7,3,4,0,0,0,1,0,1,0,0,4,2,2,3,0,3,0,0,0,0,0,0,0,0,0
Ruesha Littlejohn,33,2021/2022,Forward,Aston Villa Ladies,996,572,424,Republic of Ireland,17,10,7,0,0,0,0,0,0,0,0,4,1,3,12,7,5,4,0,0,0,0,0,0,0,0
Safia Middleton-Patel,19,2021/2022,Goalkeeper,Leicester City WFC,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samantha Kerr,30,2021/2022,Forward,Chelsea Women,1558,819,739,Australia,20,10,10,20,12,8,4,2,2,0,0,12,7,5,9,4,5,1,0,1,6,0,0,0,0,0
Samantha Tierney,25,2021/2022,Defender,Leicester City WFC,1856,956,900,England,21,11,10,2,1,1,0,0,0,0,0,4,4,0,44,23,21,6,0,0,0,0,0,0,0,0
Sanne Troelsgaard-Nielsen,35,2021/2022,Midfielder,Reading Women,892,362,530,Denmark,13,6,7,0,0,0,1,0,1,0,0,3,2,1,20,7,13,2,0,0,0,0,0,0,0,0
Sarah Emma Mayling,26,2021/2022,Forward,Aston Villa Ladies,1875,885,990,England,21,10,11,1,1,0,1,0,1,0,0,5,1,4,34,13,21,2,0,0,0,0,0,0,0,0
Sarah Ewens,31,2021/2022,Forward,Birmingham City Women,377,128,249,Scotland,11,5,6,0,0,0,0,0,0,0,0,1,1,0,14,6,8,0,0,0,0,0,0,0,0,0
Shania Hayles,23,2021/2022,Midfielder,Aston Villa Ladies,413,224,189,England,13,8,5,0,0,0,0,0,0,0,0,2,1,1,12,5,7,1,0,0,0,0,0,0,0,0
Shelina Zadorsky,30,2021/2022,Defender,Tottenham Hotspur Women,1840,975,865,Canada,21,11,10,1,1,0,0,0,0,0,0,8,5,3,18,5,13,2,0,0,0,0,0,0,0,0
Sian Rogers,25,2021/2022,Goalkeeper,Aston Villa Ladies,206,90,116,England,3,1,2,0,0,0,0,0,0,0,0,1,1,0,8,0,8,0,0,0,0,18,5.72,0.22,0.78,26
Signe Kallesøe Bruun,25,2021/2022,Midfielder,Manchester United Women,191,19,172,Denmark,5,2,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Silvana Flores Dorrel,21,2021/2022,Midfielder,Tottenham Hotspur Women,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Boye-Sørensen,31,2021/2022,Defender,Arsenal Women,160,97,63,Denmark,5,4,1,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Simone Magill,28,2021/2022,Forward,Everton Women,541,339,202,Northern Ireland,14,8,6,2,1,1,1,1,0,0,0,2,0,2,14,9,5,0,0,0,0,0,0,0,0,0
So-Hyun Cho,35,2021/2022,Midfielder,Tottenham Hotspur Women,606,297,309,South Korea,12,5,7,0,0,0,0,0,0,0,0,3,2,1,10,4,6,0,0,0,0,0,0,0,0,0
So-yun Ji,32,2021/2022,Midfielder,Chelsea Women,651,253,398,South Korea,12,5,7,0,0,0,5,1,4,0,0,7,4,3,5,0,5,0,0,0,0,0,0,0,0,0
Sophie Baggaley,26,2021/2022,Goalkeeper,Manchester United Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sophie Barker,32,2021/2022,Midfielder,Leicester City WFC,701,318,383,England,13,5,8,0,0,0,0,0,0,0,0,1,1,0,21,10,11,0,0,0,0,0,0,0,0,0
Sophie Harris,29,2021/2022,Goalkeeper,Leicester City WFC,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,1.26,0.21,0.79,6
Sophie Howard,30,2021/2022,Defender,Leicester City WFC,1660,866,794,Scotland,21,10,11,1,1,0,0,0,0,0,0,4,4,0,42,21,21,0,0,0,0,0,0,0,0,0
Sophie Ingle,32,2021/2022,Midfielder,Chelsea Women,1447,785,662,Wales,19,10,9,0,0,0,1,0,1,0,0,12,7,5,8,4,4,2,0,0,0,0,0,0,0,0
Steph Catley,29,2021/2022,Defender,Arsenal Women,1291,577,714,Australia,18,9,9,1,0,1,4,4,0,0,0,14,6,8,3,2,1,0,0,0,0,0,0,0,0,0
Stephanie Houghton,35,2021/2022,Defender,Manchester City Women,364,180,184,England,5,2,3,1,0,1,0,0,0,0,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0
Stina Blackstenius,27,2021/2022,Forward,Arsenal Women,632,279,353,Sweden,11,5,6,6,3,3,1,1,0,0,0,8,3,5,0,0,0,0,0,0,1,0,0,0,0,0
Susan Woodham Lily,23,2021/2022,Midfielder,Reading Women,1758,900,858,Wales,21,10,11,0,0,0,1,1,0,0,0,6,4,2,38,17,21,3,0,0,0,0,0,0,0,0
Tameka Butt,32,2021/2022,Midfielder,West Ham United Women,1205,750,455,Australia,16,9,7,1,1,0,0,0,0,0,0,4,2,2,21,12,9,1,0,0,0,0,0,0,0,0
Taylor Reynolds,19,2021/2022,Midfielder,Birmingham City Women,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teyah Goldie,19,2021/2022,Defender,Arsenal Women,4,4,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinja-Riikka Korpela,37,2021/2022,Goalkeeper,Tottenham Hotspur Women,990,450,540,Finland,11,5,6,0,0,0,0,0,0,0,0,3,2,1,13,3,10,0,0,0,0,38,9.54,0.18,0.82,53
Tobin Heath,35,2021/2022,Midfielder,Arsenal Women,292,228,64,USA,9,6,3,2,0,2,1,0,1,0,0,5,3,2,5,4,1,0,0,0,0,0,0,0,0,0
Toni Duggan,32,2021/2022,Forward,Everton Women,1546,786,760,England,22,11,11,2,2,0,1,1,0,0,0,4,0,4,26,14,12,0,0,0,0,0,0,0,0,0
Valérie Gauvin,27,2021/2022,Forward,Everton Women,365,142,223,France,12,7,5,0,0,0,0,0,0,0,0,2,0,2,6,1,5,0,0,0,0,0,0,0,0,0
Veatriki Sarri,25,2021/2022,Forward,Birmingham City Women,1651,856,795,Greece,21,10,11,3,1,2,2,1,1,0,0,3,2,1,36,16,20,2,0,0,0,0,0,0,0,0
Victoria Williams,33,2021/2022,Defender,Brighton & Hove Albion Women,1806,854,952,England,21,10,11,2,1,1,1,1,0,0,0,7,3,4,32,14,18,3,0,0,0,0,0,0,0,0
Viktoria Schnaderbeck,32,2021/2022,Defender,Tottenham Hotspur Women,271,135,136,Austria,6,4,2,0,0,0,0,0,0,0,0,4,3,1,4,2,2,0,0,0,0,0,0,0,0,0
Vilde Bøe Risa,28,2021/2022,Midfielder,Manchester United Women,699,366,333,Norway,17,9,8,2,1,1,1,1,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0
Vivianne Miedema,27,2021/2022,Forward,Arsenal Women,1743,834,909,Netherlands,22,11,11,14,8,6,8,5,3,0,0,15,7,8,8,4,4,3,0,0,3,0,0,0,0,0
Yui Hasegawa,26,2021/2022,Midfielder,West Ham United Women,1461,810,651,Japan,17,9,8,2,0,2,2,0,2,0,0,4,2,2,26,13,13,0,0,0,0,0,0,0,0,0
Zaneta Wyne,33,2021/2022,Midfielder,West Ham United Women,1150,423,727,USA,18,8,10,1,0,1,0,0,0,0,0,3,2,1,20,6,14,0,0,0,0,0,0,0,0,0
Zecira Musovic,27,2021/2022,Goalkeeper,Chelsea Women,786,360,426,Sweden,10,4,6,0,0,0,1,1,0,0,0,6,3,3,3,1,2,0,0,0,0,8,2.75,0.25,0.75,11
