full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,saves_total_overall,PSxG,PSxG/SoT,xSaves_total_overall,SoTA
Samantha Kerr,30,2022/2023,Forward,Chelsea Women,1547,703,844,Australia,21,10,11,12,6,6,5,2,3,0,0,10,5,5,11,3,8,0,0,0,1,0,0,0,0,0
Samantha Tierney,25,2022/2023,Defender,Leicester City WFC,1850,893,957,England,21,10,11,2,2,0,2,1,1,0,0,4,2,2,42,22,20,5,0,0,0,0,0,0,0,0
Sanne Troelsgaard-Nielsen,35,2022/2023,Midfielder,Reading Women,1144,548,596,Denmark,20,10,10,4,1,3,1,1,0,1,0,1,1,0,35,15,20,0,0,0,0,0,0,0,0,0
Sara Holmgaard,24,2022/2023,Midfielder,Everton Women,195,158,37,Denmark,6,4,2,0,0,0,0,0,0,0,0,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0
Sarah Emma Mayling,26,2022/2023,Forward,Aston Villa Ladies,1800,810,990,England,20,9,11,0,0,0,1,0,1,0,0,5,0,5,32,18,14,3,0,0,0,0,0,0,0,0
Shanice van de Sanden,31,2022/2023,Forward,Liverpool Women,637,249,388,Netherlands,14,5,9,1,0,1,3,1,2,0,0,2,1,1,10,1,9,3,0,0,0,0,0,0,0,0
Shannon Cooke,23,2022/2023,Defender,West Ham United Women,11,0,11,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Shelina Zadorsky,30,2022/2023,Defender,Tottenham Hotspur Women,1170,540,630,Canada,13,6,7,0,0,0,0,0,0,0,0,2,1,1,26,12,14,0,0,0,0,0,0,0,0,0
Simone Magill,28,2022/2023,Forward,Aston Villa Ladies,96,58,38,Northern Ireland,3,1,2,0,0,0,1,1,0,0,0,2,0,2,3,3,0,1,0,0,0,0,0,0,0,0
So-Hyun Cho,35,2022/2023,Midfielder,Tottenham Hotspur Women,316,157,159,South Korea,9,5,4,0,0,0,2,0,2,0,0,2,1,1,8,3,5,0,0,0,0,0,0,0,0,0
Sofie Lundgaard,21,2022/2023,Midfielder,Liverpool Women,228,48,180,Denmark,12,5,7,0,0,0,0,0,0,0,0,2,1,1,5,0,5,1,0,0,0,0,0,0,0,0
Sophie Baggaley,26,2022/2023,Goalkeeper,Manchester United Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sophie Hillyerd,20,2022/2023,Goalkeeper,West Ham United Women,190,100,90,England,3,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,19
Sophie Howard,30,2022/2023,Defender,Leicester City WFC,1870,971,899,Scotland,21,11,10,0,0,0,0,0,0,0,0,5,3,2,38,21,17,1,0,0,0,0,0,0,0,0
Sophie Ingle,32,2022/2023,Midfielder,Chelsea Women,1341,599,742,Wales,21,10,11,2,1,1,3,0,3,0,0,11,6,5,11,4,7,1,0,0,0,0,0,0,0,0
Steph Catley,29,2022/2023,Defender,Arsenal Women,1189,582,607,Australia,17,8,9,1,0,1,2,2,0,0,0,8,4,4,9,6,3,0,0,0,0,0,0,0,0,0
Stephanie Houghton,35,2022/2023,Defender,Manchester City Women,1173,543,630,England,14,7,7,2,2,0,1,0,1,0,0,3,2,1,18,6,12,1,0,0,0,0,0,0,0,0
Stina Blackstenius,27,2022/2023,Forward,Arsenal Women,1618,699,919,Sweden,22,11,11,8,3,5,0,0,0,0,0,11,6,5,14,6,8,0,0,0,1,0,0,0,0,0
Susan Woodham Lily,23,2022/2023,Midfielder,Reading Women,1289,671,618,Wales,16,8,8,0,0,0,1,1,0,0,0,1,1,0,32,13,19,4,0,0,0,0,0,0,0,0
Taylor Hinds,24,2022/2023,Midfielder,Liverpool Women,1872,940,932,England,22,11,11,0,0,0,2,0,2,0,0,3,2,1,35,12,23,2,0,0,0,0,0,0,0,0
Teyah Goldie,19,2022/2023,Defender,Arsenal Women,5,0,5,England,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tinaya Alexander,24,2022/2023,Forward,Reading Women,16,0,16,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinja-Riikka Korpela,37,2022/2023,Goalkeeper,Tottenham Hotspur Women,990,450,540,Finland,11,5,6,0,0,0,0,0,0,0,0,3,2,1,23,10,13,0,0,0,0,47,15.4,0.22,0.78,70
Veatriki Sarri,25,2022/2023,Forward,Brighton & Hove Albion Women,1442,708,734,Greece,22,11,11,3,0,3,2,1,1,0,0,1,1,0,44,23,21,3,0,0,1,0,0,0,0,0
Victoria Pelova,24,2022/2023,Forward,Arsenal Women,908,368,540,Netherlands,12,5,7,1,0,1,3,0,3,0,0,5,3,2,10,3,7,0,0,0,0,0,0,0,0,0
Victoria Williams,33,2022/2023,Defender,Brighton & Hove Albion Women,827,377,450,England,10,5,5,0,0,0,0,0,0,0,0,0,0,0,30,12,18,1,0,0,0,0,0,0,0,0
Vilde Bøe Risa,28,2022/2023,Midfielder,Manchester United Women,361,185,176,Norway,12,7,5,0,0,0,1,1,0,0,0,8,5,3,1,0,1,1,0,0,0,0,0,0,0,0
Viviane Asseyi,29,2022/2023,Forward,West Ham United Women,1946,963,983,France,22,11,11,6,5,1,3,1,2,0,0,5,4,1,41,17,24,2,0,0,2,0,0,0,0,0
Vivianne Miedema,27,2022/2023,Forward,Arsenal Women,437,286,151,Netherlands,8,5,3,4,3,1,1,1,0,0,0,5,3,2,2,1,1,0,0,0,1,0,0,0,0,0
Yana Daniels,31,2022/2023,Forward,Liverpool Women,743,339,404,Belgium,17,9,8,0,0,0,0,0,0,0,0,3,2,1,16,5,11,0,0,0,0,0,0,0,0,0
Yee-Un Park,27,2022/2023,Midfielder,Brighton & Hove Albion Women,34,15,19,South Korea,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Yui Hasegawa,26,2022/2023,Midfielder,Manchester City Women,1785,976,809,Japan,20,11,9,1,1,0,1,0,1,0,0,6,2,4,16,9,7,0,0,0,0,0,0,0,0,0
Zecira Musovic,27,2022/2023,Goalkeeper,Chelsea Women,630,180,450,Sweden,7,2,5,0,0,0,0,0,0,0,0,3,1,2,6,1,5,0,0,0,0,17,4.14,0.18,0.82,23
Zoe Morse,25,2022/2023,Defender,Brighton & Hove Albion Women,1260,630,630,USA,14,7,7,0,0,0,0,0,0,0,0,1,1,0,33,19,14,0,0,0,0,0,0,0,0,0
Abbey-Leigh Stringer,28,2021/2022,Midfielder,West Ham United Women,1117,499,618,England,18,8,10,1,0,1,0,0,0,0,0,5,3,2,12,3,9,6,0,0,0,0,0,0,0,0
Abbi Grant,27,2021/2022,Midfielder,Leicester City WFC,46,0,46,Scotland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Abbie McManus,30,2021/2022,Defender,Leicester City WFC,1556,754,802,England,19,9,10,1,1,0,0,0,0,0,0,4,4,0,28,9,19,1,0,0,0,0,0,0,0,0
Adriana Leon,31,2021/2022,Forward,West Ham United Women,971,632,339,Canada,13,8,5,2,1,1,0,0,0,0,0,3,1,2,14,9,5,0,0,0,0,0,0,0,0,0
Aileen Whelan,32,2021/2022,Forward,Brighton & Hove Albion Women,1704,870,834,England,22,11,11,3,1,2,1,0,1,0,0,7,3,4,27,15,12,2,0,0,0,0,0,0,0,0
Aimee Claypole,17,2021/2022,Forward,Chelsea Women,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alanna Kennedy,28,2021/2022,Defender,Manchester City Women,1153,596,557,Australia,14,7,7,1,1,0,0,0,0,0,0,10,5,5,9,3,6,0,0,0,0,0,0,0,0,0
Alessia Russo,24,2021/2022,Midfielder,Manchester United Women,1586,788,798,England,22,11,11,9,6,3,4,2,2,0,0,10,7,3,13,7,6,0,0,0,1,0,0,0,0,0
Alex Greenwood,30,2021/2022,Defender,Manchester City Women,1928,976,952,England,22,11,11,4,3,1,3,1,2,2,0,12,6,6,19,9,10,3,0,0,0,0,0,0,0,0
